descripcion_tipo_presupuesto,finalidad,funcion,monto
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,413-ELECTRICIDAD,764721984674
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,413-ELECTRICIDAD,398164655752
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,412-PETROLEO Y GAS,2271700552414
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,412-PETROLEO Y GAS,149395806838
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,412-PETROLEO Y GAS,63636364
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,371-VIVIENDA Y URBANISMO,217547860309
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,371-VIVIENDA Y URBANISMO,88327552777
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,371-VIVIENDA Y URBANISMO,65011671589
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,371-VIVIENDA Y URBANISMO,59352134978
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,371-VIVIENDA Y URBANISMO,33178572053
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,371-VIVIENDA Y URBANISMO,27462650842
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,371-VIVIENDA Y URBANISMO,25808762763
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,371-VIVIENDA Y URBANISMO,15974379074
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,361-RELACIONES LABORALES,115727048408
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,361-RELACIONES LABORALES,26616400566
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,361-RELACIONES LABORALES,10539924179
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,361-RELACIONES LABORALES,2205337378
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,361-RELACIONES LABORALES,2016295680
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,361-RELACIONES LABORALES,609448765
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,"359-CIENCIA , TECNOLOGIA Y DIFUSION SIN DISCRIMINAR",1045036236
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,"359-CIENCIA , TECNOLOGIA Y DIFUSION SIN DISCRIMINAR",837667716
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,355-SERVICIOS ESTADISTICOS,15880025720
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,355-SERVICIOS ESTADISTICOS,6989557867
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,355-SERVICIOS ESTADISTICOS,2318524168
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,355-SERVICIOS ESTADISTICOS,275932116
