tipo_presupuesto,funcion,anho,monto
1-PROGRAMAS DE ADMINISTRACION,121-JUDICIAL,2013,637464804435
1-PROGRAMAS DE ADMINISTRACION,413-ELECTRICIDAD,2013,635710079049
1-PROGRAMAS DE ADMINISTRACION,413-ELECTRICIDAD,2011,634253787615
1-PROGRAMAS DE ADMINISTRACION,132-ADMINISTRACIÓN GENERAL,2014,627118835834
1-PROGRAMAS DE ADMINISTRACION,481-INTERMEDIACION FINANCIERA,2014,622136918967
2-PROGRAMAS DE ACCIÓN,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,2013,610257563818
1-PROGRAMAS DE ADMINISTRACION,211-DEFENSA MILITAR,2011,608208116512
2-PROGRAMAS DE ACCIÓN,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,2012,603573876620
1-PROGRAMAS DE ADMINISTRACION,481-INTERMEDIACION FINANCIERA,2015,601358959743
1-PROGRAMAS DE ADMINISTRACION,323-SERVICIOS DE ACCIÓN SOCIAL,2011,599260639176
1-PROGRAMAS DE ADMINISTRACION,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,2011,587404276504
1-PROGRAMAS DE ADMINISTRACION,132-ADMINISTRACIÓN GENERAL,2013,583304814104
1-PROGRAMAS DE ADMINISTRACION,481-INTERMEDIACION FINANCIERA,2013,567418666090
1-PROGRAMAS DE ADMINISTRACION,121-JUDICIAL,2012,550869152669
3-PROGRAMAS DE INVERSIÓN,413-ELECTRICIDAD,2012,534593432149
2-PROGRAMAS DE ACCIÓN,323-SERVICIOS DE ACCIÓN SOCIAL,2014,514180418569
2-PROGRAMAS DE ACCIÓN,319-SALUD SIN DISCRIMINAR,2014,507052623242
1-PROGRAMAS DE ADMINISTRACION,121-JUDICIAL,2011,499409611839
1-PROGRAMAS DE ADMINISTRACION,319-SALUD SIN DISCRIMINAR,2014,487921415018
2-PROGRAMAS DE ACCIÓN,461-PRODUCCION INDUSTRIAL,2015,483834197271
1-PROGRAMAS DE ADMINISTRACION,349-EDUCACION Y CULTURA SIN DISCRIMINAR,2013,478482194814
3-PROGRAMAS DE INVERSIÓN,413-ELECTRICIDAD,2011,459779256260
1-PROGRAMAS DE ADMINISTRACION,481-INTERMEDIACION FINANCIERA,2012,449647604366
2-PROGRAMAS DE ACCIÓN,461-PRODUCCION INDUSTRIAL,2014,449458332316
1-PROGRAMAS DE ADMINISTRACION,"459-AGRICULTURA , GANADERIA, CAZA Y PESCA SIN DISCRIMINAR",2015,448159335291
2-PROGRAMAS DE ACCIÓN,323-SERVICIOS DE ACCIÓN SOCIAL,2013,444924614313
1-PROGRAMAS DE ADMINISTRACION,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,2011,444685828515
2-PROGRAMAS DE ACCIÓN,461-PRODUCCION INDUSTRIAL,2012,430852623156
1-PROGRAMAS DE ADMINISTRACION,111-LEGISLATIVA,2015,426645764599
2-PROGRAMAS DE ACCIÓN,"333-VEJEZ, INCAPACIDAD Y SUPERVIVENCIA",2014,419135486902
1-PROGRAMAS DE ADMINISTRACION,133-SERVICIO EXTERIOR,2015,419110651671
2-PROGRAMAS DE ACCIÓN,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,2011,418795175702
1-PROGRAMAS DE ADMINISTRACION,143-ADMINISTRACION FINANCIERA Y CONTROL GUBERNAMENTAL,2012,411172488818
2-PROGRAMAS DE ACCIÓN,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,2012,408645460570
1-PROGRAMAS DE ADMINISTRACION,111-LEGISLATIVA,2013,408159863251
1-PROGRAMAS DE ADMINISTRACION,111-LEGISLATIVA,2014,407618324814
1-PROGRAMAS DE ADMINISTRACION,481-INTERMEDIACION FINANCIERA,2011,404939498453
1-PROGRAMAS DE ADMINISTRACION,331-ADMINISTRACION DE LOS SERVICIOS DE SEGURIDAD SOCIAL,2014,398732681815
1-PROGRAMAS DE ADMINISTRACION,331-ADMINISTRACION Y PROMOCION,2013,395874168603
2-PROGRAMAS DE ACCIÓN,319-SALUD SIN DISCRIMINAR,2011,394526683336
1-PROGRAMAS DE ADMINISTRACION,134-ADMINISTRACIÓN MUNICIPAL,2011,393899060853
2-PROGRAMAS DE ACCIÓN,"333-VEJEZ, INCAPACIDAD Y SUPERVIVENCIA",2012,388716703470
1-PROGRAMAS DE ADMINISTRACION,132-ADMINISTRACIÓN GENERAL,2011,385523145836
1-PROGRAMAS DE ADMINISTRACION,611-REGULACIÓN Y CONTROL DE SERVICIOS DE TELECOMUNICACIÓN,2015,378932727705
1-PROGRAMAS DE ADMINISTRACION,111-LEGISLATIVA,2012,378664731825
2-PROGRAMAS DE ACCIÓN,454-CREDITO AGRICOLA Y PECUARIO,2015,368781844984
2-PROGRAMAS DE ACCIÓN,211-SERVICIOS DE SEGURIDAD NACIONAL,2015,366124029358
2-PROGRAMAS DE ACCIÓN,323-SERVICIOS DE ACCIÓN SOCIAL,2011,357335522094
